age,gender,country,education_level,has_bank_account,mobile_money_user,loan_access,monthly_income
56,Male,Tanzania,Primary,1,0.0,0.0,503.2
69,Female,Burundi,Secondary,1,1.0,1.0,432.48
46,Female,Kenya,Secondary,1,1.0,0.0,206.95
32,Male,Rwanda,Secondary,nan,0.0,1.0,629.71
60,Male,Rwanda,Secondary,0,1.0,1.0,424.83
25,Male,Tanzania,Tertiary,nan,1.0,0.0,434.96
38,Female,Rwanda,Secondary,1,0.0,0.0,683.59
56,Male,Uganda,Secondary,1,0.0,0.0,452.75
36,Female,Uganda,Primary,0,1.0,0.0,423.42
40,Male,Burundi,Primary,1,0.0,1.0,438.22
28,Female,Rwanda,Secondary,0,0.0,1.0,316.73
28,Female,Burundi,Secondary,0,1.0,0.0,561.23
41,Female,Kenya,Primary,0,1.0,0.0,281.92
53,Female,Rwanda,Primary,0,0.0,0.0,527.15
57,Male,Tanzania,Primary,0,0.0,0.0,156.21
41,Male,Tanzania,Primary,0,0.0,0.0,530.28
20,,Kenya,None,1,1.0,0.0,517.36
39,Male,Uganda,Secondary,unknown,1.0,0.0,561.12
19,Female,Uganda,Secondary,1,0.0,0.0,531.3
41,Female,Uganda,None,1,1.0,0.0,702.28
61,Female,Rwanda,Secondary,1,1.0,0.0,507.39
47,Male,Burundi,None,0,0.0,,102.19
55,Male,Kenya,Secondary,1,0.0,1.0,1085.36
19,Female,Rwanda,Secondary,0,1.0,0.0,636.57
38,Male,Tanzania,Secondary,1,,1.0,819.01
50,Female,Burundi,Secondary,0,1.0,0.0,414.04
29,Female,Burundi,Secondary,1,1.0,1.0,269.92
39,Male,Rwanda,Secondary,1,1.0,0.0,339.19
61,Male,Tanzania,Tertiary,1,0.0,0.0,672.23
42,Female,Burundi,Secondary,1,0.0,0.0,1028.76
66,Female,Rwanda,None,no,,0.0,1075.53
44,Female,Tanzania,Primary,0,0.0,0.0,460.55
59,Female,Rwanda,Primary,1,0.0,0.0,449.61
45,Female,Tanzania,Primary,0,1.0,0.0,301.51
33,Female,Kenya,Secondary,0,1.0,1.0,395.93
32,Male,Uganda,Primary,1,1.0,0.0,789.66
64,Female,Rwanda,Secondary,1,1.0,0.0,372.71
68,Male,Rwanda,Primary,0,1.0,1.0,340.92
61,Female,Rwanda,Secondary,0,0.0,0.0,635.12
69,Female,Rwanda,Secondary,no,0.0,1.0,362.67
20,Male,Kenya,,1,1.0,,737.95
54,Male,Uganda,Secondary,1,0.0,0.0,636.49
68,Female,Uganda,Tertiary,0,1.0,1.0,377.98
24,Male,Burundi,Secondary,0,,1.0,531.12
38,Female,Kenya,None,1,,0.0,489.62
26,Male,Uganda,Primary,no,0.0,0.0,486.51
56,Female,Uganda,None,1,1.0,0.0,578.26
35,Male,Tanzania,None,1,1.0,0.0,638.18
21,Female,Tanzania,Secondary,0,0.0,0.0,427.0
42,Male,Kenya,Primary,0,1.0,1.0,427.09
31,Male,Kenya,Secondary,0,1.0,1.0,407.73
67,Male,Uganda,Primary,0,1.0,0.0,389.18
26,Female,Tanzania,Tertiary,0,0.0,1.0,491.21
43,Male,Tanzania,Primary,0,0.0,0.0,857.96
19,Female,Uganda,Secondary,0,1.0,0.0,433.77
37,Male,Uganda,Secondary,1,1.0,0.0,349.05
45,Female,Burundi,Primary,1,,1.0,426.22
64,Male,Rwanda,Primary,no,0.0,0.0,706.83
24,Female,Kenya,None,yes,1.0,0.0,775.11
61,Male,Kenya,None,0,1.0,1.0,160.84
25,Female,Burundi,None,1,1.0,1.0,121.59
64,Female,Tanzania,Secondary,1,1.0,0.0,575.51
52,Male,Rwanda,Primary,0,1.0,1.0,403.82
31,Male,Tanzania,Secondary,no,1.0,0.0,423.22
34,Male,Burundi,Secondary,1,0.0,1.0,45.77
53,Male,Burundi,Secondary,1,1.0,0.0,486.98
67,Male,Burundi,None,0,0.0,0.0,404.79
57,Male,Kenya,Primary,0,0.0,0.0,377.37
21,Female,Kenya,,1,1.0,0.0,884.05
19,Male,Tanzania,Secondary,0,0.0,0.0,464.62
23,Male,Uganda,Primary,yes,0.0,1.0,445.9
59,Male,Kenya,Secondary,0,0.0,0.0,603.62
21,Female,Rwanda,Primary,1,0.0,1.0,224.36
46,Male,Rwanda,Secondary,1,1.0,0.0,119.82
35,Female,Rwanda,Secondary,0,0.0,0.0,639.71
43,Female,Burundi,Secondary,1,1.0,0.0,191.28
61,Female,Tanzania,Secondary,1,0.0,0.0,579.39
51,Male,Burundi,Primary,no,0.0,1.0,0.0
27,Female,Rwanda,Primary,1,0.0,,200.24
53,Male,Rwanda,Secondary,no,1.0,0.0,124.86
31,Female,Burundi,Secondary,no,0.0,0.0,366.96
48,Female,Rwanda,,nan,0.0,1.0,550.01
65,Female,Rwanda,Secondary,no,0.0,1.0,698.3
32,Other,Tanzania,Primary,1,0.0,0.0,748.34
25,Female,Rwanda,Secondary,0,,0.0,511.49
31,Male,Burundi,Primary,1,1.0,0.0,549.09
40,Male,Burundi,Secondary,0,0.0,0.0,583.3
57,Female,Uganda,Secondary,1,0.0,0.0,747.56
38,Female,Rwanda,Primary,1,0.0,1.0,602.24
33,Female,Uganda,Secondary,1,0.0,0.0,547.24
62,Female,Burundi,Secondary,1,1.0,0.0,464.15
35,Male,Uganda,Secondary,0,1.0,0.0,692.3
64,Female,Rwanda,Secondary,no,1.0,0.0,934.54
41,Female,Kenya,Secondary,0,,1.0,325.55
43,Male,Tanzania,Secondary,0,0.0,1.0,574.97
42,Male,Rwanda,Primary,1,0.0,0.0,481.67
62,Female,Uganda,Secondary,1,1.0,0.0,668.63
58,Female,Uganda,None,no,0.0,1.0,878.32
46,Female,Uganda,Tertiary,nan,0.0,0.0,414.7
32,Male,Burundi,Primary,1,1.0,0.0,406.9
62,Male,Rwanda,Secondary,yes,1.0,0.0,323.18
150,Female,Uganda,Secondary,1,1.0,0.0,433.06
42,Female,Kenya,Primary,1,0.0,0.0,483.56
24,Male,Rwanda,Primary,1,0.0,0.0,526.68
26,Female,Burundi,,0,0.0,1.0,508.68
41,Female,Rwanda,Secondary,no,0.0,0.0,461.89
18,Female,Burundi,Secondary,1,0.0,1.0,325.14
61,Female,Burundi,Tertiary,yes,0.0,0.0,431.54
25,Male,Tanzania,Secondary,1,1.0,0.0,609.55
41,Female,Tanzania,Tertiary,1,0.0,1.0,453.49
28,Male,Kenya,Secondary,no,1.0,0.0,466.76
68,Female,Uganda,Tertiary,0,0.0,0.0,419.82
34,Male,Rwanda,Tertiary,0,,0.0,613.98
25,Female,Uganda,None,1,1.0,0.0,451.59
52,Female,Rwanda,Secondary,no,1.0,0.0,373.21
